Student number,Student age,Average hours spent studying on campus,Student mark achieved,Percentage,Time taken on examination (minutes)
S113,25-35,2-3,98,75.38461538461539,31
S114,25-35,1-2,109,83.84615384615385,74
S115,25-35,2-3,6,4.615384615384616,77
S116,over 45,2-3,64,49.23076923076923,174
S117,18-25,4-5,76,58.46153846153847,179
S118,25-35,4-5,1,0.7692307692307693,24
S119,18-25,4-5,29,22.30769230769231,76
S120,35-45,2-3,76,58.46153846153847,79
S121,18-25,1-2,56,43.07692307692308,143
S122,over 45,4-5,91,70.0,138
S123,18-25,2-3,58,44.61538461538462,144
S124,35-45,2-3,49,37.69230769230769,59
S125,over 45,1-2,95,73.07692307692307,28
S126,35-45,2-3,100,76.92307692307693,1
S127,18-25,1-2,4,3.076923076923077,121
S128,18-25,1-2,103,79.23076923076923,52
S129,25-35,4-5,119,91.53846153846152,165
S130,35-45,4-5,61,46.92307692307692,5
S131,over 45,1-2,92,70.76923076923077,168
S132,25-35,2-3,110,84.61538461538461,99
S133,35-45,2-3,40,30.76923076923077,34
S134,18-25,2-3,12,9.230769230769232,171
S135,25-35,2-3,46,35.38461538461539,88
S136,25-35,2-3,6,4.615384615384616,18
S137,over 45,4-5,117,90.0,115
S138,18-25,4-5,107,82.3076923076923,95
S140,25-35,1-2,121,93.07692307692308,88
S141,over 45,2-3,32,24.615384615384617,64
S142,18-25,1-2,115,88.46153846153845,63
S143,18-25,2-3,45,34.61538461538461,33
S144,18-25,1-2,63,48.46153846153846,174
S145,over 45,4-5,99,76.15384615384615,97
S146,over 45,4-5,9,6.923076923076923,95
S147,18-25,1-2,62,47.69230769230769,65
S148,35-45,4-5,96,73.84615384615385,81
S149,over 45,4-5,81,62.30769230769231,61
S150,over 45,4-5,70,53.84615384615385,125
